production_id,machine_id,product_id,shift,direct_loss,indirect_loss,total_cascade_loss,downtime_reason
0,6,13,Morning,9846.623608923643,1537.2356199017906,11383.859228825433,Breakdown
1,1,19,Night,6402.207574029704,1904.2126943670294,8306.420268396734,Breakdown
2,3,8,Morning,9427.104054884298,1574.9776052703428,11002.08166015464,No Power
3,9,11,Night,11605.918241751242,1264.387493949477,12870.305735700718,Breakdown
4,10,3,Night,4833.9846162543645,1761.0676033459395,6595.052219600304,Maintenance
5,2,3,Afternoon,9800.518345298042,814.9613999102137,10615.479745208255,Breakdown
6,4,15,Afternoon,13972.799096584708,1506.03572173746,15478.834818322168,Breakdown
7,9,10,Morning,8380.012314741844,1056.662136882997,9436.67445162484,Breakdown
8,3,14,Morning,7561.799166567943,1310.608296653014,8872.407463220956,Setup
9,5,13,Morning,12616.069472584526,1324.4683541704828,13940.53782675501,Maintenance
10,4,13,Morning,10460.052404368864,701.0146269979102,11161.067031366774,Setup
11,10,6,Morning,3284.0276477114844,675.3606995001301,3959.3883472116145,Maintenance
12,1,18,Morning,10861.883253130803,1523.630975955882,12385.514229086686,Setup
13,3,9,Night,17101.382338091527,1709.7624141160884,18811.144752207616,Breakdown
14,5,17,Afternoon,11964.965408216065,1243.9330952868315,13208.898503502896,Setup
15,6,17,Night,5944.727638455119,578.11958407942,6522.847222534539,Breakdown
16,7,13,Afternoon,6485.558065553442,1209.5858402973627,7695.143905850805,Maintenance
17,4,17,Afternoon,4812.397149750025,711.9421318442422,5524.339281594267,Setup
18,1,17,Afternoon,3179.0950911617174,815.8483048164038,3994.9433959781213,Breakdown
19,8,11,Morning,9373.960356680978,1214.563242157804,10588.523598838783,No Power
20,3,4,Morning,19807.761595727497,1329.3479408328806,21137.10953656038,Breakdown
21,10,3,Afternoon,7229.770606086666,1069.0114094692883,8298.782015555955,Setup
22,8,16,Afternoon,6363.202245016402,680.0902308697353,7043.292475886137,Maintenance
23,3,9,Night,9535.188349559947,1263.2623562607573,10798.450705820704,Setup
24,4,1,Morning,5076.94411999347,416.53227708189434,5493.476397075365,Setup
25,8,2,Afternoon,4125.136092897866,961.2127000958839,5086.348792993749,Breakdown
26,4,2,Afternoon,2991.0012756897495,651.3046885225494,3642.305964212299,Maintenance
27,9,5,Morning,9563.394409615927,781.3851804057153,10344.779590021642,Setup
28,7,11,Afternoon,7877.132389150349,1237.4932756069677,9114.625664757317,Breakdown
29,1,7,Afternoon,19889.688438985162,1499.4262767650894,21389.114715750253,Setup
30,8,7,Morning,10567.622148718317,1071.6245187495917,11639.246667467909,Breakdown
31,6,18,Morning,28603.684058497118,1613.884625278522,30217.56868377564,Setup
32,9,17,Night,12852.955114049413,1078.4285518927632,13931.383665942176,Setup
33,5,18,Afternoon,17013.360249959842,2040.6856500161891,19054.04589997603,Maintenance
34,10,18,Night,15605.670928450034,1750.1629972501598,17355.833925700194,Setup
35,3,11,Morning,6482.911311614437,1141.7304071687058,7624.641718783143,Maintenance
36,7,3,Night,9468.1313157535,1689.1517185611453,11157.283034314645,Breakdown
37,10,19,Afternoon,11782.546165487145,1993.1887029737381,13775.734868460884,Setup
38,7,4,Night,18490.83909159852,1810.244023130666,20301.083114729183,Setup
39,3,12,Afternoon,11756.316562965469,1480.6678196205664,13236.984382586035,Setup
